# Shellcode detector== Legitimate instructions executed before shellcode was detected ==
0x7F9AD43A19A1::libc.so.6  83 C8 01                or eax, 0x1
0x7F9AD43A19A4::libc.so.6  48 83 E9 10             sub rcx, 0x10
0x7F9AD43A19A8::libc.so.6  41 89 40 04             mov dword ptr [r8+0x4], eax
0x7F9AD43A19AC::libc.so.6  49 89 48 58             mov qword ptr [r8+0x58], rcx
0x7F9AD43A19B0::libc.so.6  48 83 C4 38             add rsp, 0x38
0x7F9AD43A19B4::libc.so.6  5B                      pop rbx
0x7F9AD43A19B5::libc.so.6  5D                      pop rbp
0x7F9AD43A19B6::libc.so.6  41 5C                   pop r12
0x7F9AD43A19B8::libc.so.6  41 5D                   pop r13
0x7F9AD43A19BA::libc.so.6  41 5E                   pop r14
0x7F9AD43A19BC::libc.so.6  41 5F                   pop r15
0x7F9AD43A19BE::libc.so.6  C3                      ret
0x7F9AD43A19E3::libc.so.6  48 C7 05 22 7D 30 00 90 00 00 00 mov qword ptr [rip+0x307d22], 0x90
0x7F9AD43A19EE::libc.so.6  8B 05 50 74 30 00       mov eax, dword ptr [rip+0x307450]
0x7F9AD43A19F4::libc.so.6  EB AB                   jmp 0x7f9ad43a19a1
0x7F9AD43A19A1::libc.so.6  83 C8 01                or eax, 0x1
0x7F9AD43A19A4::libc.so.6  48 83 E9 10             sub rcx, 0x10
0x7F9AD43A19A8::libc.so.6  41 89 40 04             mov dword ptr [r8+0x4], eax
0x7F9AD43A19AC::libc.so.6  49 89 48 58             mov qword ptr [r8+0x58], rcx
0x7F9AD43A19B0::libc.so.6  48 83 C4 38             add rsp, 0x38
0x7F9AD43A19B4::libc.so.6  5B                      pop rbx
0x7F9AD43A19B5::libc.so.6  5D                      pop rbp
0x7F9AD43A19B6::libc.so.6  41 5C                   pop r12
0x7F9AD43A19B8::libc.so.6  41 5D                   pop r13
0x7F9AD43A19BA::libc.so.6  41 5E                   pop r14
0x7F9AD43A19BC::libc.so.6  41 5F                   pop r15
0x7F9AD43A19BE::libc.so.6  C3                      ret
0x7F9AD43A4FAD::libc.so.6  4C 8B 4C 24 28          mov r9, qword ptr [rsp+0x28]
0x7F9AD43A4FB2::libc.so.6  48 8B 44 24 30          mov rax, qword ptr [rsp+0x30]
0x7F9AD43A4FB7::libc.so.6  41 89 DA                mov r10d, ebx
0x7F9AD43A4FBA::libc.so.6  4C 8D 5B 20             lea r11, ptr [rbx+0x20]
